;Opcao;Tempo(ms)
0;1;0.000046
1;1;0.000061
2;1;0.000074
3;1;0.000035
4;1;0.000058
5;1;0.000061
6;1;0.000080
7;1;0.000080
8;1;0.000087
9;1;0.000080
10;1;0.000073
11;1;0.000114
12;1;0.000068
13;1;0.000070
14;1;0.000016
15;1;0.000020
16;1;0.000017
17;1;0.000011
18;1;0.000017
19;1;0.000009
20;1;0.000074
21;1;0.000116
22;1;0.000068
23;1;0.000032
24;1;0.000075
25;1;0.000051
26;1;0.000060
27;1;0.000060
28;1;0.000068
29;1;0.000065
30;1;0.000070
31;1;0.000079
32;1;0.000079
33;1;0.000076
34;1;0.000090
35;1;0.000050
36;1;0.000052
37;1;0.000070
38;1;0.000073
39;1;0.000075
40;1;0.000078
41;1;0.000074
42;1;0.000056
43;1;0.000107
44;1;0.000032
45;1;0.000102
46;1;0.000079
47;1;0.000089
48;1;0.000058
49;1;0.000092
50;1;0.000082
51;1;0.000087
52;1;0.000053
53;1;0.000122
54;1;0.000096
55;1;0.000089
56;1;0.000083
57;1;0.000076
58;1;0.000095
59;1;0.000002
60;1;0.000021
61;1;0.000015
62;1;0.000016
63;1;0.000011
64;1;0.000023
65;1;0.000014
66;1;0.000002
67;1;0.000008
68;1;0.000025
69;1;0.000013
70;1;0.000009
71;1;0.000005
72;1;0.000016
73;1;0.000074
74;1;0.000015
75;1;0.000074
76;1;0.000067
77;1;0.000065
78;1;0.000076
79;1;0.000097
80;1;0.000094
81;1;0.000049
82;1;0.000049
83;1;0.000071
84;1;0.000037
85;1;0.000071
86;1;0.000074
87;1;0.000082
88;1;0.000058
89;1;0.000049
90;2;0.000092
91;2;0.000085
92;2;0.000065
93;2;0.000030
94;2;0.000101
95;2;0.000084
96;2;0.000048
97;2;0.000084
98;2;0.000052
99;2;0.000038
100;2;0.000053
101;2;0.000060
102;2;0.000081
103;2;0.000055
104;2;0.000028
105;2;0.000071
106;2;0.000112
107;2;0.000089
108;2;0.000062
109;2;0.000072
110;2;0.000073
111;2;0.000067
112;2;0.000076
113;2;0.000060
114;2;0.000098
115;2;0.000069
116;2;0.000011
117;2;0.000069
118;2;0.000090
119;2;0.000050
120;2;0.000072
121;2;0.000097
122;2;0.000069
123;2;0.000056
124;2;0.000076
125;2;0.000055
126;2;0.000034
127;2;0.000079
128;2;0.000113
129;2;0.000058
130;2;0.000058
131;2;0.000077
132;2;0.000059
133;2;0.000083
134;2;0.000084
135;2;0.000009
136;2;0.000080
137;2;0.000109
138;2;0.000072
139;2;0.000070
140;2;0.000070
141;2;0.000091
142;2;0.000080
143;2;0.000085
144;2;0.000078
145;2;0.000050
146;2;0.000078
147;2;0.000057
148;2;0.000086
149;2;0.000044
150;2;0.000053
151;2;0.000077
152;2;0.000077
153;2;0.000059
154;2;0.000086
155;2;0.000097
156;2;0.000093
157;2;0.000103
158;2;0.000070
159;2;0.000075
160;2;0.000096
161;2;0.000102
162;2;0.000080
163;2;0.000065
164;2;0.000080
165;2;0.000057
166;2;0.000071
167;2;0.000066
168;2;0.000056
169;2;0.000081
170;2;0.000065
171;2;0.000069
172;2;0.000100
173;2;0.000036
174;2;0.000048
175;2;0.000069
176;2;0.000103
177;2;0.000067
178;2;0.000074
179;2;0.000048
180;3;0.000061
181;3;0.000091
182;3;0.000103
183;3;0.000098
184;3;0.000093
185;3;0.000056
186;3;0.000063
187;3;0.000103
188;3;0.000085
189;3;0.000063
190;3;0.000072
191;3;0.000085
192;3;0.000090
193;3;0.000060
194;3;0.000082
195;3;0.000093
196;3;0.000062
197;3;0.000068
198;3;0.000078
199;3;0.000070
200;3;0.000091
201;3;0.000108
202;3;0.000099
203;3;0.000080
204;3;0.000101
205;3;0.000116
206;3;0.000056
207;3;0.000090
208;3;0.000066
209;3;0.000086
210;3;0.000076
211;3;0.000100
212;3;0.000084
213;3;0.000060
214;3;0.000064
215;3;0.000083
216;3;0.000087
217;3;0.000087
218;3;0.000071
219;3;0.000076
220;3;0.000089
221;3;0.000066
222;3;0.000096
223;3;0.000088
224;3;0.000087
225;3;0.000088
226;3;0.000084
227;3;0.000067
228;3;0.000084
229;3;0.000096
230;3;0.000082
231;3;0.000102
232;3;0.000078
233;3;0.000098
234;3;0.000086
235;3;0.000090
236;3;0.000069
237;3;0.000113
238;3;0.000038
239;3;0.000053
240;3;0.000075
241;3;0.000089
242;3;0.000113
243;3;0.000093
244;3;0.000044
245;3;0.000092
246;3;0.000068
247;3;0.000099
248;3;0.000093
249;3;0.000094
250;3;0.000067
251;3;0.000073
252;3;0.000093
253;3;0.000095
254;3;0.000092
255;3;0.000079
256;3;0.000092
257;3;0.000083
258;3;0.000091
259;3;0.000086
260;3;0.000098
261;3;0.000082
262;3;0.000101
263;3;0.000093
264;3;0.000065
265;3;0.000099
266;3;0.000080
267;3;0.000029
268;3;0.000092
269;3;0.000093
270;4;0.000080
271;4;0.000076
272;4;0.000073
273;4;0.000023
274;4;0.000075
275;4;0.000097
276;4;0.000077
277;4;0.000060
278;4;0.000085
279;4;0.000081
280;4;0.000089
281;4;0.000013
282;4;0.000006
283;4;0.000012
284;4;0.000011
285;4;0.000007
286;4;0.000010
287;4;0.000007
288;4;0.000016
289;4;0.000008
290;4;0.000041
291;4;0.000017
292;4;0.000020
293;4;0.000080
294;4;0.000073
295;4;0.000053
296;4;0.000070
297;4;0.000043
298;4;0.000065
299;4;0.000081
300;4;0.000074
301;4;0.000106
302;4;0.000058
303;4;0.000067
