;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
0;1;3.2e-05;5e-06;2.7e-05
1;1;3.4e-05;6e-06;2.8e-05
2;1;3.3e-05;6e-06;2.7000000000000002e-05
3;1;3.1e-05;5e-06;2.6000000000000002e-05
4;1;3.7e-05;6e-06;3.0999999999999995e-05
5;1;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
6;1;2.6e-05;3e-06;2.2999999999999997e-05
7;1;2.1e-05;5e-06;1.6e-05
8;1;2.6e-05;4e-06;2.2e-05
9;1;3.4e-05;6e-06;2.8e-05
10;1;3.2e-05;6e-06;2.6e-05
11;1;3.9e-05;5e-06;3.4e-05
12;1;3e-05;6e-06;2.4e-05
13;1;3.3e-05;6e-06;2.7000000000000002e-05
14;1;2.2e-05;6e-06;1.6e-05
15;1;2.5e-05;6e-06;1.9e-05
16;1;3.4e-05;7.000000000000002e-06;2.7e-05
17;1;3.3e-05;6e-06;2.7000000000000002e-05
18;1;3.3e-05;6e-06;2.7000000000000002e-05
19;1;3.3e-05;6e-06;2.7000000000000002e-05
20;1;1.7e-05;4e-06;1.3000000000000001e-05
21;1;2.2e-05;6e-06;1.6e-05
22;1;4.1e-05;6e-06;3.5e-05
23;1;1.9e-05;5e-06;1.4000000000000001e-05
24;1;2.7e-05;5e-06;2.2e-05
25;1;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
26;1;3.2e-05;6e-06;2.6e-05
27;1;2.3e-05;5e-06;1.8e-05
28;1;2.3e-05;4e-06;1.9e-05
29;1;2.3e-05;3e-06;1.9999999999999998e-05
30;1;1.8e-05;5e-06;1.3000000000000001e-05
31;1;3.2e-05;5e-06;2.7e-05
32;1;1.9e-05;5e-06;1.4000000000000001e-05
33;1;2.9e-05;6e-06;2.3e-05
34;1;3.6e-05;7.000000000000002e-06;2.9e-05
35;1;3e-05;6e-06;2.4e-05
36;1;3.4e-05;6e-06;2.8e-05
37;1;2.1e-05;6e-06;1.4999999999999999e-05
38;1;3.3e-05;5e-06;2.8000000000000003e-05
39;1;2.6e-05;7.000000000000002e-06;1.8999999999999998e-05
40;1;1.8e-05;5e-06;1.3000000000000001e-05
41;1;2.8e-05;6e-06;2.2e-05
42;1;2.6e-05;5e-06;2.1e-05
43;1;2e-05;5e-06;1.5000000000000002e-05
44;1;3.2e-05;7.000000000000002e-06;2.4999999999999998e-05
45;1;3.9e-05;6e-06;3.3e-05
46;1;3.1e-05;6e-06;2.5e-05
47;1;3.2e-05;6e-06;2.6e-05
48;1;4e-05;7.000000000000002e-06;3.3e-05
49;1;4.3e-05;7.000000000000002e-06;3.6e-05
50;1;3.4e-05;6e-06;2.8e-05
51;1;4.1e-05;7.000000000000002e-06;3.4e-05
52;1;2.4e-05;6e-06;1.8e-05
53;1;2.8e-05;6e-06;2.2e-05
54;1;4e-05;6e-06;3.4e-05
55;1;3.8e-05;6e-06;3.2000000000000005e-05
56;1;2e-05;6e-06;1.4000000000000001e-05
57;1;2.3e-05;5e-06;1.8e-05
58;1;4e-05;6e-06;3.4e-05
59;1;3.1e-05;5e-06;2.6000000000000002e-05
60;1;2.1e-05;5e-06;1.6e-05
61;1;3.8e-05;6e-06;3.2000000000000005e-05
62;1;2.2e-05;7.000000000000002e-06;1.4999999999999999e-05
63;1;3.5e-05;5e-06;2.9999999999999997e-05
64;1;3e-05;6e-06;2.4e-05
65;1;2.8e-05;6e-06;2.2e-05
66;1;2.8e-05;5e-06;2.3e-05
67;1;3.1e-05;5e-06;2.6000000000000002e-05
68;1;4.3e-05;7.000000000000002e-06;3.6e-05
69;1;3.3e-05;6e-06;2.7000000000000002e-05
70;1;3.4e-05;5e-06;2.9e-05
71;1;3.5e-05;6e-06;2.8999999999999997e-05
72;1;3.6e-05;6e-06;3e-05
73;1;2.1e-05;4e-06;1.7e-05
74;1;3.6e-05;6e-06;3e-05
75;1;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
76;1;4.1e-05;7.000000000000002e-06;3.4e-05
77;1;3.3e-05;6e-06;2.7000000000000002e-05
78;1;3.6e-05;5e-06;3.1e-05
79;1;2.1e-05;6e-06;1.4999999999999999e-05
80;1;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
81;1;2.4e-05;6e-06;1.8e-05
82;1;2e-05;5e-06;1.5000000000000002e-05
83;1;2.2e-05;5e-06;1.7e-05
84;1;2.8e-05;5e-06;2.3e-05
85;1;3.1e-05;6e-06;2.5e-05
86;1;4.5e-05;9e-06;3.6e-05
87;1;3.4e-05;7.000000000000002e-06;2.7e-05
88;1;3.2e-05;6e-06;2.6e-05
89;1;3.3e-05;6e-06;2.7000000000000002e-05
90;2;4.4e-05;6e-06;3.8e-05
91;2;2.6e-05;6e-06;1.9999999999999998e-05
92;2;3e-05;5e-06;2.5e-05
93;2;3e-05;5e-06;2.5e-05
94;2;2.5e-05;6e-06;1.9e-05
95;2;4.4e-05;6e-06;3.8e-05
96;2;2.4e-05;5e-06;1.9e-05
97;2;4.1e-05;6e-06;3.5e-05
98;2;2.9e-05;7.000000000000002e-06;2.2e-05
99;2;3e-05;4e-06;2.6000000000000002e-05
100;2;3.3e-05;5e-06;2.8000000000000003e-05
101;2;3.2e-05;5e-06;2.7e-05
102;2;2.3e-05;5e-06;1.8e-05
103;2;2.2e-05;6e-06;1.6e-05
104;2;2.8e-05;5e-06;2.3e-05
105;2;3.2e-05;5e-06;2.7e-05
106;2;2.5e-05;6e-06;1.9e-05
107;2;3.9e-05;5e-06;3.4e-05
108;2;2.9e-05;4e-06;2.5e-05
109;2;3.3e-05;5e-06;2.8000000000000003e-05
110;2;3.1e-05;6e-06;2.5e-05
111;2;2.8e-05;4e-06;2.4e-05
112;2;3e-05;6e-06;2.4e-05
113;2;3e-05;5e-06;2.5e-05
114;2;2.4e-05;6e-06;1.8e-05
115;2;1.7e-05;5e-06;1.2e-05
116;2;3.5e-05;6e-06;2.8999999999999997e-05
117;2;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
118;2;2e-05;4e-06;1.6000000000000003e-05
119;2;3.2e-05;5e-06;2.7e-05
120;2;4.1e-05;6e-06;3.5e-05
121;2;2.8e-05;4e-06;2.4e-05
122;2;3.1e-05;5e-06;2.6000000000000002e-05
123;2;2.3e-05;5e-06;1.8e-05
124;2;2.2e-05;5e-06;1.7e-05
125;2;3.1e-05;5e-06;2.6000000000000002e-05
126;2;4e-05;7.000000000000002e-06;3.3e-05
127;2;3.9e-05;6e-06;3.3e-05
128;2;3.4e-05;6e-06;2.8e-05
129;2;3.8e-05;6e-06;3.2000000000000005e-05
130;2;3.7e-05;6e-06;3.0999999999999995e-05
131;2;1.6e-05;4e-06;1.2e-05
132;2;2.2e-05;4e-06;1.8e-05
133;2;3.9e-05;6e-06;3.3e-05
134;2;2.6e-05;4e-06;2.2e-05
135;2;3.2e-05;5e-06;2.7e-05
136;2;3.2e-05;5e-06;2.7e-05
137;2;2.3e-05;5e-06;1.8e-05
138;2;2.2e-05;5e-06;1.7e-05
139;2;3.7e-05;5e-06;3.2e-05
140;2;3.3e-05;5e-06;2.8000000000000003e-05
141;2;3.4e-05;6e-06;2.8e-05
142;2;3.8e-05;5e-06;3.3e-05
143;2;2.1e-05;5e-06;1.6e-05
144;2;3.1e-05;5e-06;2.6000000000000002e-05
145;2;2.5e-05;6e-06;1.9e-05
146;2;3.2e-05;5e-06;2.7e-05
147;2;3e-05;6e-06;2.4e-05
148;2;2.2e-05;5e-06;1.7e-05
149;2;2.5e-05;6e-06;1.9e-05
150;2;2.5e-05;5e-06;2e-05
151;2;2.9e-05;4e-06;2.5e-05
152;2;3.2e-05;6e-06;2.6e-05
153;2;2.3e-05;4e-06;1.9e-05
154;2;1.4e-05;3e-06;1.1e-05
155;2;2.6e-05;4e-06;2.2e-05
156;2;2.2e-05;5e-06;1.7e-05
157;2;3.4e-05;6e-06;2.8e-05
158;2;2.6e-05;5e-06;2.1e-05
159;2;3.9e-05;5e-06;3.4e-05
160;2;3.5e-05;6e-06;2.8999999999999997e-05
161;2;3.1e-05;6e-06;2.5e-05
162;2;3.1e-05;5e-06;2.6000000000000002e-05
163;2;3.3e-05;5e-06;2.8000000000000003e-05
164;2;1.9e-05;6e-06;1.3000000000000001e-05
165;2;2.9e-05;5e-06;2.4e-05
166;2;3.2e-05;5e-06;2.7e-05
167;2;2.3e-05;5e-06;1.8e-05
168;2;2.6e-05;6e-06;1.9999999999999998e-05
169;2;3.9e-05;5e-06;3.4e-05
170;2;3.3e-05;5e-06;2.8000000000000003e-05
171;2;3.1e-05;5e-06;2.6000000000000002e-05
172;2;3.5e-05;6e-06;2.8999999999999997e-05
173;2;2.2e-05;5e-06;1.7e-05
174;2;3.1e-05;5e-06;2.6000000000000002e-05
175;2;3.1e-05;5e-06;2.6000000000000002e-05
176;2;3e-05;6e-06;2.4e-05
177;2;3.5e-05;6e-06;2.8999999999999997e-05
178;2;3.4e-05;6e-06;2.8e-05
179;2;3.4e-05;6e-06;2.8e-05
180;3;1.6e-05;5e-06;1.1e-05
181;3;1.9e-05;4e-06;1.5000000000000002e-05
182;3;3.2e-05;6e-06;2.6e-05
183;3;3.5e-05;6e-06;2.8999999999999997e-05
184;3;3.6e-05;4e-06;3.2e-05
185;3;3.3e-05;6e-06;2.7000000000000002e-05
186;3;3.4e-05;6e-06;2.8e-05
187;3;3.4e-05;6e-06;2.8e-05
188;3;3e-05;5e-06;2.5e-05
189;3;3.2e-05;6e-06;2.6e-05
190;3;4.5e-05;7.000000000000002e-06;3.8e-05
191;3;2.7e-05;5e-06;2.2e-05
192;3;3.1e-05;5e-06;2.6000000000000002e-05
193;3;3.1e-05;7.000000000000002e-06;2.4e-05
194;3;3.5e-05;6e-06;2.8999999999999997e-05
195;3;2.4e-05;5e-06;1.9e-05
196;3;3.4e-05;6e-06;2.8e-05
197;3;3.3e-05;8e-06;2.5000000000000005e-05
198;3;3.3e-05;6e-06;2.7000000000000002e-05
199;3;3.4e-05;6e-06;2.8e-05
200;3;2.6e-05;7.000000000000002e-06;1.8999999999999998e-05
201;3;2.4e-05;4e-06;2e-05
202;3;3.1e-05;6e-06;2.5e-05
203;3;2.8e-05;5e-06;2.3e-05
204;3;2.1e-05;5e-06;1.6e-05
205;3;3.8e-05;6e-06;3.2000000000000005e-05
206;3;2.7e-05;4e-06;2.3e-05
207;3;3.2e-05;5e-06;2.7e-05
208;3;2.4e-05;6e-06;1.8e-05
209;3;3.9e-05;7.000000000000002e-06;3.2e-05
210;3;3.1e-05;6e-06;2.5e-05
211;3;2.4e-05;6e-06;1.8e-05
212;3;2.1e-05;6e-06;1.4999999999999999e-05
213;3;3.1e-05;6e-06;2.5e-05
214;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
215;3;2.6e-05;7.000000000000002e-06;1.8999999999999998e-05
216;3;2.6e-05;4e-06;2.2e-05
217;3;2.9e-05;5e-06;2.4e-05
218;3;3.9e-05;6e-06;3.3e-05
219;3;4.1e-05;7.000000000000002e-06;3.4e-05
220;3;2.8e-05;6e-06;2.2e-05
221;3;2.6e-05;5e-06;2.1e-05
222;3;1.4e-05;4e-06;9.999999999999999e-06
223;3;2.2e-05;4e-06;1.8e-05
224;3;2.6e-05;5e-06;2.1e-05
225;3;2.9e-05;6e-06;2.3e-05
226;3;3.6e-05;7.000000000000002e-06;2.9e-05
227;3;3.2e-05;7.000000000000002e-06;2.4999999999999998e-05
228;3;2.4e-05;6e-06;1.8e-05
229;3;1.9e-05;6e-06;1.3000000000000001e-05
230;3;3.3e-05;6e-06;2.7000000000000002e-05
231;3;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
232;3;4.2e-05;7.000000000000002e-06;3.5e-05
233;3;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
234;3;3.1e-05;7.000000000000002e-06;2.4e-05
235;3;3.4e-05;7.000000000000002e-06;2.7e-05
236;3;1.9e-05;5e-06;1.4000000000000001e-05
237;3;2e-05;7.000000000000002e-06;1.3000000000000001e-05
238;3;2.3e-05;6e-06;1.7e-05
239;3;4.2e-05;7.000000000000002e-06;3.5e-05
240;3;3.2e-05;7.000000000000002e-06;2.4999999999999998e-05
241;3;2.1e-05;6e-06;1.4999999999999999e-05
242;3;2.3e-05;6e-06;1.7e-05
243;3;2.5e-05;7.000000000000002e-06;1.8e-05
244;3;2.7e-05;8e-06;1.9e-05
245;3;3.3e-05;6e-06;2.7000000000000002e-05
246;3;3.3e-05;6e-06;2.7000000000000002e-05
247;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
248;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
249;3;2.8e-05;6e-06;2.2e-05
250;3;3.7e-05;6e-06;3.0999999999999995e-05
251;3;2.7e-05;5e-06;2.2e-05
252;3;2.9e-05;6e-06;2.3e-05
253;3;3.1e-05;5e-06;2.6000000000000002e-05
254;3;3.9e-05;6e-06;3.3e-05
255;3;2.5e-05;8e-06;1.7e-05
256;3;2.8e-05;6e-06;2.2e-05
257;3;3.4e-05;8e-06;2.6000000000000002e-05
258;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
259;3;3.7e-05;8e-06;2.9e-05
260;3;2.5e-05;7.000000000000002e-06;1.8e-05
261;3;3.7e-05;6e-06;3.0999999999999995e-05
262;3;3.5e-05;6e-06;2.8999999999999997e-05
263;3;3.5e-05;6e-06;2.8999999999999997e-05
264;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
265;3;3.1e-05;7.000000000000002e-06;2.4e-05
266;3;3.6e-05;8e-06;2.8000000000000003e-05
267;3;3.7e-05;6e-06;3.0999999999999995e-05
268;3;3.3e-05;6e-06;2.7000000000000002e-05
269;3;3.4e-05;8e-06;2.6000000000000002e-05
270;4;2.1e-05;8e-06;1.3e-05
271;4;2.4e-05;1e-05;1.4e-05
272;4;2.8e-05;7.000000000000002e-06;2.1e-05
273;4;2.1e-05;9e-06;1.1999999999999999e-05
274;4;4e-05;9e-06;3.1e-05
