;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
0;1;4.6e-05;2.9e-05;1.7e-05
1;1;6.1e-05;4.8e-05;1.2999999999999998e-05
2;1;7.4e-05;2.7e-05;4.7e-05
3;1;3.5e-05;2.6e-05;8.999999999999999e-06
4;1;5.8e-05;2.4e-05;3.4e-05
5;1;6.1e-05;2.8e-05;3.3e-05
6;1;8e-05;2.6e-05;5.400000000000001e-05
7;1;8e-05;1.9e-05;6.1000000000000005e-05
8;1;8.7e-05;1.8e-05;6.9e-05
9;1;8e-05;1.8e-05;6.2e-05
10;1;7.3e-05;1.9e-05;5.4e-05
11;1;0.000114;1.6e-05;9.800000000000001e-05
12;1;6.8e-05;2.6e-05;4.2000000000000004e-05
13;1;7e-05;2.1e-05;4.9e-05
14;1;1.6e-05;1.8e-05;-2.000000000000001e-06
15;1;2e-05;2.8e-05;-7.999999999999998e-06
16;1;1.7e-05;1.8e-05;-1.0000000000000006e-06
17;1;1.1e-05;1.7e-05;-6e-06
18;1;1.7e-05;2.2e-05;-4.9999999999999996e-06
19;1;9e-06;2.9e-05;-1.9999999999999998e-05
20;1;7.4e-05;2e-05;5.4e-05
21;1;0.000116;2.2e-05;9.400000000000001e-05
22;1;6.8e-05;2e-05;4.8e-05
23;1;3.2e-05;1.8e-05;1.3999999999999998e-05
24;1;7.5e-05;2.2e-05;5.2999999999999994e-05
25;1;5.1e-05;2.1e-05;3e-05
26;1;6e-05;2e-05;3.9999999999999996e-05
27;1;6e-05;2.8e-05;3.2000000000000005e-05
28;1;6.8e-05;1.7e-05;5.1e-05
29;1;6.5e-05;2.3e-05;4.199999999999999e-05
30;1;7e-05;2.2e-05;4.7999999999999994e-05
31;1;7.9e-05;2.3e-05;5.599999999999999e-05
32;1;7.9e-05;1.6e-05;6.3e-05
33;1;7.6e-05;1.6e-05;6.000000000000001e-05
34;1;9e-05;1.6e-05;7.400000000000001e-05
35;1;5e-05;1.6e-05;3.4e-05
36;1;5.2e-05;1.7e-05;3.5e-05
37;1;7e-05;1.5e-05;5.4999999999999995e-05
38;1;7.3e-05;3.6e-05;3.7e-05
39;1;7.5e-05;2.4e-05;5.099999999999999e-05
40;1;7.8e-05;2.3e-05;5.4999999999999995e-05
41;1;7.4e-05;1.9e-05;5.4999999999999995e-05
42;1;5.6e-05;2.5e-05;3.0999999999999995e-05
43;1;0.000107;2.7e-05;7.999999999999999e-05
44;1;3.2e-05;2.1e-05;1.1e-05
45;1;0.000102;2.2e-05;7.999999999999999e-05
46;1;7.9e-05;2.2e-05;5.6999999999999996e-05
47;1;8.9e-05;2.1e-05;6.8e-05
48;1;5.8e-05;2.1e-05;3.7000000000000005e-05
49;1;9.2e-05;2.4e-05;6.8e-05
50;1;8.2e-05;2.2e-05;6e-05
51;1;8.7e-05;2.1e-05;6.6e-05
52;1;5.3e-05;2.3e-05;3e-05
53;1;0.000122;2.2e-05;9.999999999999999e-05
54;1;9.6e-05;1.7e-05;7.9e-05
55;1;8.9e-05;2e-05;6.9e-05
56;1;8.3e-05;2e-05;6.3e-05
57;1;7.6e-05;2.2e-05;5.4000000000000005e-05
58;1;9.5e-05;2.1e-05;7.400000000000001e-05
59;1;2e-06;2.1e-05;-1.8999999999999998e-05
60;1;2.1e-05;2.3e-05;-2.000000000000001e-06
61;1;1.5e-05;1.9e-05;-4.000000000000001e-06
62;1;1.6e-05;2.3e-05;-7.000000000000001e-06
63;1;1.1e-05;2.2e-05;-1.1e-05
64;1;2.3e-05;1.6e-05;7.000000000000001e-06
65;1;1.4e-05;1.7e-05;-3e-06
66;1;2e-06;1.6e-05;-1.4e-05
67;1;8e-06;2.2e-05;-1.4e-05
68;1;2.5e-05;2e-05;4.9999999999999996e-06
69;1;1.3e-05;2.2e-05;-9e-06
