;Opcao;Media;Desvio;Intervalo de confianca;Tipo
0;1;2.4544444444444444e-05;6.312393928108455e-06;(2.3240290347443172e-05,2.5848598541445716e-05);localhost
0;2;2.4599999999999995e-05;6.029515418321382e-06;(2.3354289208612093e-05,2.5845710791387897e-05);localhost
0;3;2.4255555555555556e-05;5.764207871383486e-06;(2.3064657871246365e-05,2.5446453239864747e-05);localhost
0;4;2.0844444444444446e-05;5.700209164526404e-06;(1.9666769029958876e-05,2.2022119858930015e-05);localhost
0;5;-7.480000000000002e-05;1.352666945396589e-05;(-7.75946388625429e-05,-7.200536113745714e-05);localhost
0;6;1.6744444444444434e-05;6.378617917842605e-06;(1.5426608329413997e-05,1.806228055947487e-05);localhost
0;1;3.778888888888888e-05;3.080584157519568e-05;(3.142433608064828e-05,4.4153441697129476e-05);ip
0;2;5.626666666666667e-05;2.1114348920510867e-05;(5.190439698517832e-05,6.0628936348155014e-05);ip
0;3;6.38e-05;1.913124393190423e-05;(5.984744405392329e-05,6.775255594607672e-05);ip
0;4;2.3755555555555558e-05;3.7110012916686704e-05;(1.6088547454308997e-05,3.142256365680212e-05);ip
0;5;4.4999999999999996e-05;1.9241224469901174e-05;(4.102472183936369e-05,4.89752781606363e-05);ip
0;6;6.61222222222222e-05;1.642335126934678e-05;(6.272912269637753e-05,6.951532174806688e-05);ip
